[11:00:46:655]	[OPER] ----- Initialize -----
[11:00:46:657]	[SEND] CLEAR
[11:00:46:711]	[RECV] _ACK
[11:00:47:840]	[RECV] _RDY
[11:00:47:851]	[SEND] HOME ALL
[11:00:47:905]	[RECV] _ACK
[11:01:09:492]	[RECV] _RDY
[11:01:09:494]	[OPER] ----- Result : Completed, Description : 
[11:01:31:542]	[OPER] ----- ClearError -----
[11:01:31:544]	[SEND] CLEAR
[11:01:31:595]	[RECV] _ACK
[11:01:32:735]	[RECV] _RDY
[11:01:32:737]	[OPER] ----- Result : Completed, Description : 
[11:01:46:266]	[OPER] ----- Pick, Arm : UpperArm, Location : LP4, Slot : 1 -----
[11:01:46:271]	[SEND] GOTO N 10 R RE Z UP SLOT 2 ARM A
[11:01:46:352]	[RECV] _ACK
[11:01:50:837]	[RECV] _RDY
[11:01:50:839]	[OPER] ----- Result : Completed, Description : 
[11:01:51:002]	[OPER] ----- ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0 -----
[11:01:51:004]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[11:01:51:081]	[RECV] _ACK
[11:01:53:984]	[RECV] _RDY
[11:01:53:985]	[OPER] ----- Result : Completed, Description : 
[11:01:54:099]	[OPER] ----- Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 1 -----
[11:01:54:103]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[11:01:54:193]	[RECV] _ACK
[11:01:54:194]	[RECV] _RDY
[11:01:54:195]	[OPER] ----- Result : Completed, Description : 
[11:01:54:319]	[OPER] ----- Pick, Arm : UpperArm, Location : LP4, Slot : 2 -----
[11:01:54:323]	[SEND] GOTO N 10 R RE Z UP SLOT 3 ARM A
[11:01:54:400]	[RECV] _ACK
[11:01:57:303]	[RECV] _RDY
[11:01:57:303]	[OPER] ----- Result : Completed, Description : 
[11:01:57:444]	[OPER] ----- ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0 -----
[11:01:57:446]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[11:01:57:523]	[RECV] _ACK
[11:02:00:427]	[RECV] _RDY
[11:02:00:429]	[OPER] ----- Result : Completed, Description : 
[11:02:00:547]	[OPER] ----- Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 2 -----
[11:02:00:551]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[11:02:00:643]	[RECV] _ACK
[11:02:00:645]	[RECV] _RDY
[11:02:00:647]	[OPER] ----- Result : Completed, Description : 
[11:02:00:777]	[OPER] ----- Pick, Arm : UpperArm, Location : LP5, Slot : 1 -----
[11:02:00:781]	[SEND] GOTO N 11 R RE Z UP SLOT 2 ARM A
[11:02:00:859]	[RECV] _ACK
[11:02:03:761]	[RECV] _RDY
[11:02:03:762]	[OPER] ----- Result : Completed, Description : 
[11:02:03:900]	[OPER] ----- ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0 -----
[11:02:03:902]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[11:02:03:981]	[RECV] _ACK
[11:02:06:883]	[RECV] _RDY
[11:02:06:885]	[OPER] ----- Result : Completed, Description : 
[11:02:07:001]	[OPER] ----- Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 1 -----
[11:02:07:005]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[11:02:07:097]	[RECV] _ACK
[11:02:07:098]	[RECV] _RDY
[11:02:07:098]	[OPER] ----- Result : Completed, Description : 
[11:02:07:218]	[OPER] ----- Pick, Arm : UpperArm, Location : LP4, Slot : 3 -----
[11:02:07:222]	[SEND] GOTO N 10 R RE Z UP SLOT 4 ARM A
[11:02:07:302]	[RECV] _ACK
[11:02:10:204]	[RECV] _RDY
[11:02:10:204]	[OPER] ----- Result : Completed, Description : 
[11:02:10:341]	[OPER] ----- ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0 -----
[11:02:10:343]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[11:02:10:422]	[RECV] _ACK
[11:02:13:324]	[RECV] _RDY
[11:02:13:326]	[OPER] ----- Result : Completed, Description : 
[11:02:13:450]	[OPER] ----- Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 3 -----
[11:02:13:454]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[11:02:13:547]	[RECV] _ACK
[11:02:13:549]	[RECV] _RDY
[11:02:13:550]	[OPER] ----- Result : Completed, Description : 
[11:02:13:567]	[OPER] ----- Pick, Arm : UpperArm, Location : LP5, Slot : 2 -----
[11:02:13:571]	[SEND] GOTO N 11 R RE Z UP SLOT 3 ARM A
[11:02:13:650]	[RECV] _ACK
[11:02:16:552]	[RECV] _RDY
[11:02:16:553]	[OPER] ----- Result : Completed, Description : 
[11:02:16:683]	[OPER] ----- ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0 -----
[11:02:16:685]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[11:02:16:765]	[RECV] _ACK
[11:02:19:666]	[RECV] _RDY
[11:02:19:666]	[OPER] ----- Result : Completed, Description : 
[11:02:19:786]	[OPER] ----- Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 2 -----
[11:02:19:790]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[11:02:19:882]	[RECV] _ACK
[11:02:19:883]	[RECV] _RDY
[11:02:19:885]	[OPER] ----- Result : Completed, Description : 
